City,Prominent Pollutant
Varanasi,PM10
Kanpur,PM10
Faridabad,PM10
Ahmedabad,PM2.5
Hyderabad,PM2.5
Chennai,CO
Delhi,O3
Agra,PM10
Lucknow,PM2.5
Navi Mumbai,PM10
Bengaluru,"CO, PM2.5"
Mumbai,PM2.5
Chandrapur,PM10
Pune,PM10
Patna,PM10
Muzaffarpur,PM10
Jaipur,PM10
Jodhpur,PM10
Panchkula,PM2.5
Gurugram,PM10
Haldia,PM10
Gaya,PM2.5
Solapur,CO
Rohtak,PM2.5
Nagpur,PM10
Nashik,PM10
Kolkata,CO
Howrah,PM10
Tirupati,PM10
Visakhapatnam,PM10
Thane,PM10
Aurangabad,PM10
Durgapur,O3
Amritsar,PM2.5
Mandi Gobindgarh,PM2.5
Ludhiana,PM2.5
Vijayawada,PM10
Ghaziabad,PM10
Noida,PM10
Jorapokhar,PM10
Thiruvananthapuram,PM10
Rajamahendravaram,O3
Moradabad,PM2.5
Bhiwadi,PM10
Alwar,PM2.5
Kota,PM10
Pali,PM10
Ajmer,PM10
Udaipur,PM2.5
Dewas,PM2.5
Pithampur,O3
Ujjain,PM2.5
Amaravati,O3
Singrauli,PM2.5
Mandideep,PM2.5
Jharsuguda,PM2.5
Satna,PM10
Asansol,PM2.5
Siliguri,PM2.5
Patiala,PM10
Talcher,PM10
Jalandhar,PM2.5
Brajrajnagar,PM2.5
Khanna,PM10
Rupnagar,PM2.5
Bulandshahr,PM10
Greater Noida,PM10
Bathinda,PM2.5
Muzaffarnagar,PM2.5
Chikkaballapur,PM10
Baghpat,PM10
Kalaburagi,PM10
Hubballi,PM10
Hapur,PM2.5
Manesar,PM2.5
Ratlam,PM10
Bahadurgarh,PM2.5
Yamunanagar,PM2.5
Damoh,PM2.5
Kurukshetra,PM2.5
Sonipat,PM2.5
Palwal,PM2.5
Bhiwani,PM10
Panipat,PM2.5
Dharuhera,PM2.5
Fatehabad,PM2.5
Ambala,PM10
Karnal,PM10
Sirsa,PM2.5
Hisar,PM2.5
Ballabgarh,PM2.5
GandhiNagar,PM2.5
Ankleshwar,PM2.5
Mandikhera,PM2.5
Narnaul,PM2.5
Jind,PM2.5
Vatva,PM2.5
Maihar,CO
Vapi,PM2.5
Kaithal,PM2.5
Guwahati,PM2.5
Loni_Dehat,PM2.5
Eloor,CO
Coimbatore,CO
Kalyan,PM10
Meerut,PM10
Mysuru,PM10
Shillong,OZONE
Chandigarh,PM10
Ramanagara,OZONE
Katni,OZONE
Jabalpur,OZONE
Indore,PM10
Yadgir,PM10
Bhopal,PM10
Loni_Ghaziabad,PM2.5
Vijayapura,PM2.5
Gwalior,"O3, PM2.5"
Chikkamagaluru,PM2.5
Kochi,PM2.5
Ernakulam,PM2.5
Kozhikode,PM10
Sagar,PM2.5
Bagalkot,PM10
Kannur,PM10
Nandesari,CO
Kollam,PM10
Hajipur,PM10
Aizawl,PM2.5
Charkhi Dadri,PM10
Kohima,PM10
Thrissur,PM10
Medikeri,PM2.5
Thoothukudi,O3
Agartala,PM2.5
Shivamogga,PM10
Chamarajanagar,PM10
Raichur,PM10
Koppal,PM2.5
Bidar,PM2.5
Mangalore,PM2.5
Gadag,PM2.5
Gummidipoondi,PM10
Puducherry,PM2.5
Kolar,NO2
Davanagere,PM10
Srinagar,PM2.5
Udupi,O3
Hassan,PM10
Naharlagun,PM10
Prayagraj,PM10
Gorakhpur,PM10
Darbhanga,PM10
Bettiah,PM10
Motihari,O3
Firozabad,PM2.5
Bihar Sharif,NO2
Vrindavan,PM10
Bilaspur,CO
Munger,PM2.5
Sasaram,PM10
Bhilai,PM10
Kishanganj,PM2.5
Katihar,PM10
Chhapra,PM2.5
Bhagalpur,PM2.5
Saharsa,PM10
Siwan,PM2.5
Purnia,PM2.5
Rajgir,PM2.5
Buxar,PM2.5
Madikeri,PM10
Arrah,PM2.5
Araria,PM2.5
Manguraha,PM2.5
Jhansi,PM2.5
Baddi,PM10
Samastipur,PM10
Begusarai,PM2.5
Gangtok,O3
Haveri,CO
Imphal,SO2
Dehradun,PM10
Aurangabad (Bihar),PM10
Bareilly,PM10
Khurja,PM2.5
Belgaum,CO
Ramanathapuram,CO
Hosur,CO
Chengalpattu,SO2
Ooty,CO
Tirupur,PM10
Anantapur,PM2.5
Vellore,SO2
Salem,SO2
Dindigul,SO2
Sivasagar,CO
Korba,PM2.5
Raipur,"PM10, PM2.5"
Kanchipuram,SO2
Surat,PM2.5
Dharwad,PM10
Chittoor,PM2.5
Nalbari,PM2.5
Baripada,PM10
Bileipada,PM10
Rairangpur,PM2.5
Rourkela,PM10
Tensa,NO2
Suakati,PM2.5
Nayagarh,PM10
Keonjhar,O3
Ariyalur,CO
Byrnihat,PM2.5
Kadapa,PM2.5
Bharatpur,PM2.5
Nagaon,PM2.5
Rishikesh,PM10
Kashipur,PM10
Dhanbad,PM2.5
Kunjemura,PM10
Karauli,O3
Sirohi,O3
Sri Ganganagar,PM10
Tonk,PM10
Tumidih,PM2.5
Silchar,PM10
Sikar,PM10
Pratapgarh,PM10
Sawai Madhopur,PM10
Bikaner,PM10
Hanumangarh,PM10
Barmer,O3
Churu,PM10
Chhal,PM10
Dausa,PM10
Dholpur,PM2.5
Jhunjhunu,O3
Jhalawar,PM10
Milupara,PM2.5
Rajsamand,PM10
Cuddalore,NO2
Chittorgarh,O3
Banswara,PM10
Palkalaiperur,SO2
Tumakuru,PM10
Kolhapur,O3
Jaisalmer,PM10
Pimpri Chinchwad,PM10
Bundi,PM10
Bhilwara,PM10
Latur,O3
Amravati,PM10
Nagaur,PM10
Jalgaon,PM10
Jalna,PM10
Akola,PM10
Sangli,PM10
Badlapur,PM10
Nanded,PM10
Baran,PM10
Parbhani,PM10
Belapur,PM10
Dhule,PM10
Bhiwandi,PM10
Mahad,PM10
Ulhasnagar,PM10
Balasore,O3
Angul,O3
Cuttack,PM10
Bhubaneswar,PM10
Byasanagar,PM2.5
Barbil,PM10
Jalore,PM10
Barrackpore,PM2.5
Karwar,PM2.5
Tiruchirappalli,PM10
